IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,Tony (root user 1 DM) Timbol,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,Product-P1 (example),FlexTeam BL 1 (example),,FlexTeam (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:03:11.276693+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:03:11.276701+00:00,AR_ITER_43,arp test company
Iteration 2 for Product P1,Tony (root user 1 DM) Timbol,2020-02-17,2020-02-28,This is an example iteration for training purposes,Product-P1 (example),Backlog Two for P1 (example),,Team-T2 (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:06:53.162128+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:06:53.162137+00:00,AR_ITER_44,arp test company
Sprint 1 for Product P2,Tony (root user 1 DM) Timbol,2020-03-02,2020-03-13,This is an example iteration for training purposes,Product-P2 (example),Backlog (singular) for P2 (example),,Team-T1 (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:12:00.247217+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:12:00.247238+00:00,AR_ITER_45,arp test company
Sprint 2 for Product P2,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,Product-P2 (example),Backlog (singular) for P2 (example),,Team-T1 (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:18:56.294583+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:18:56.294590+00:00,AR_ITER_46,arp test company
Iteration 1 for BestEverM,Tony (root user 1 DM) Timbol,2020-03-02,2020-03-13,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),Mmasters Phone ID (example),,Mechanic Masters (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:22:02.286030+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:22:02.286043+00:00,AR_ITER_47,arp test company
Iteration2 for BestEverM,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),Mmasters Phone ID (example),,Mechanic Masters (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:26:45.777006+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:26:45.777014+00:00,AR_ITER_48,arp test company
Iteration 1 for API,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),Mmasters API Pilot (example),,FlexTeam (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:30:07.890476+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:30:07.890489+00:00,AR_ITER_49,arp test company
Iteration 2 for API,Tony (root user 1 DM) Timbol,2020-03-31,2020-04-10,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),Mmasters API Pilot (example),,FlexTeam (example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:33:22.342144+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:33:22.342152+00:00,AR_ITER_50,arp test company
Feb Cycle (1) for BestEverM,Tony (root user 1 DM) Timbol,2020-02-03,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,BestEverMortgage 2020 Enhancements (example),Ticket Masters BL (example),,Ticket Masters Kanban(example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:34:38.900808+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:34:38.900824+00:00,AR_ITER_51,arp test company
Mar Cycle (2) for BestEverM,Tony (root user 1 DM) Timbol,2020-03-02,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,BestEverMortgage 2020 Enhancements (example),Ticket Masters BL (example),,Ticket Masters Kanban(example),0,0,Tony (root user 1 DM) Timbol,2020-02-14 13:36:05.913121+00:00,Tony (root user 1 DM) Timbol,2020-02-14 13:36:05.913144+00:00,AR_ITER_52,arp test company
